Date,Open,High,Low,Close*,Adj Close**
7-Mar-85,180.65,180.65,179.44,179.51,179.51
8-Mar-85,179.51,179.97,179.07,179.1,179.1
11-Mar-85,179.1,179.46,178.15,178.79,178.79
12-Mar-85,178.79,180.14,178.7,179.66,179.66
13-Mar-85,179.66,179.96,178.02,178.19,178.19
14-Mar-85,178.19,178.53,177.61,177.84,177.84
15-Mar-85,177.84,178.41,176.53,176.53,176.53
18-Mar-85,176.53,177.66,176.53,176.88,176.88
19-Mar-85,176.88,179.56,176.87,179.54,179.54
20-Mar-85,179.54,179.78,178.79,179.08,179.08
21-Mar-85,179.08,180.22,178.89,179.35,179.35
22-Mar-85,179.35,179.92,178.86,179.04,179.04
25-Mar-85,179.04,179.04,177.85,177.97,177.97
26-Mar-85,177.97,178.86,177.88,178.43,178.43
27-Mar-85,178.43,179.8,178.43,179.54,179.54
28-Mar-85,179.54,180.6,179.43,179.54,179.54
29-Mar-85,179.54,180.66,179.54,180.66,180.66
1-Apr-85,180.66,181.27,180.43,181.27,181.27
2-Apr-85,181.27,181.86,180.28,180.53,180.53
3-Apr-85,180.53,180.53,178.64,179.11,179.11
4-Apr-85,179.11,179.13,178.29,179.03,179.03
8-Apr-85,179.03,179.46,177.86,178.03,178.03
9-Apr-85,178.03,178.67,177.97,178.21,178.21
10-Apr-85,178.21,179.9,178.21,179.42,179.42
11-Apr-85,179.42,180.91,179.42,180.19,180.19
12-Apr-85,180.19,180.55,180.06,180.54,180.54
15-Apr-85,180.54,181.15,180.45,180.92,180.92
16-Apr-85,180.92,181.78,180.19,181.2,181.2
17-Apr-85,181.2,181.91,181.14,181.68,181.68
18-Apr-85,181.68,182.56,180.75,180.84,180.84
19-Apr-85,180.84,181.25,180.42,181.11,181.11
22-Apr-85,181.11,181.23,180.25,180.7,180.7
23-Apr-85,180.7,181.97,180.34,181.88,181.88
24-Apr-85,181.88,182.27,181.74,182.26,182.26
25-Apr-85,182.26,183.43,182.12,183.43,183.43
26-Apr-85,183.43,183.61,182.11,182.18,182.18
29-Apr-85,182.18,182.34,180.62,180.63,180.63
30-Apr-85,180.63,180.63,178.86,179.83,179.83
1-May-85,179.83,180.04,178.35,178.37,178.37
2-May-85,178.37,179.01,178.37,179.01,179.01
3-May-85,179.01,180.3,179.01,180.08,180.08
6-May-85,180.08,180.56,179.82,179.99,179.99
7-May-85,179.99,181.09,179.87,180.76,180.76
8-May-85,180.76,180.76,179.96,180.62,180.62
9-May-85,180.62,181.97,180.62,181.92,181.92
10-May-85,181.92,184.74,181.92,184.28,184.28
13-May-85,184.28,184.61,184.19,184.61,184.61
14-May-85,184.61,185.17,183.65,183.87,183.87
15-May-85,183.87,185.43,183.86,184.54,184.54
16-May-85,184.54,185.74,184.54,185.66,185.66
17-May-85,185.66,187.94,185.47,187.42,187.42
20-May-85,187.42,189.98,187.42,189.72,189.72
21-May-85,189.72,189.81,188.78,189.64,189.64
22-May-85,189.64,189.64,187.71,188.56,188.56
23-May-85,188.56,188.56,187.45,187.6,187.6
24-May-85,187.6,188.29,187.29,188.29,188.29
28-May-85,188.29,188.94,187.38,187.86,187.86
29-May-85,187.86,187.86,187.11,187.68,187.68
30-May-85,187.68,188.04,187.09,187.75,187.75
31-May-85,187.75,189.59,187.45,189.55,189.55
3-Jun-85,189.55,190.36,188.93,189.32,189.32
4-Jun-85,189.32,190.27,188.88,190.04,190.04
5-Jun-85,190.04,191.02,190.04,190.16,190.16
6-Jun-85,189.75,191.06,189.13,191.06,191.06
7-Jun-85,191.06,191.29,189.55,189.68,189.68
10-Jun-85,189.68,189.68,188.82,189.51,189.51
11-Jun-85,189.51,189.61,188.78,189.04,189.04
12-Jun-85,189.04,189.04,187.59,187.61,187.61
13-Jun-85,187.61,187.61,185.03,185.33,185.33
14-Jun-85,185.33,187.1,185.33,187.1,187.1
17-Jun-85,187.1,187.1,185.98,186.53,186.53
18-Jun-85,186.53,187.65,186.51,187.34,187.34
19-Jun-85,187.34,187.98,186.63,186.63,186.63
20-Jun-85,186.63,186.74,185.97,186.73,186.73
21-Jun-85,186.73,189.66,186.43,189.61,189.61
24-Jun-85,188.77,189.61,187.84,189.15,189.15
25-Jun-85,189.15,190.96,189.15,189.74,189.74
26-Jun-85,189.74,190.26,189.44,190.06,190.06
27-Jun-85,190.06,191.36,190.06,191.23,191.23
28-Jun-85,191.23,191.85,191.04,191.85,191.85
1-Jul-85,191.85,192.43,191.17,192.43,192.43
2-Jul-85,192.43,192.63,191.84,192.01,192.01
3-Jul-85,192.01,192.08,191.37,191.45,191.45
5-Jul-85,191.45,192.67,191.45,192.52,192.52
8-Jul-85,192.47,192.52,191.26,191.93,191.93
9-Jul-85,191.93,191.93,190.81,191.05,191.05
10-Jul-85,191.05,192.37,190.99,192.37,192.37
11-Jul-85,192.37,192.95,192.28,192.94,192.94
12-Jul-85,192.94,193.32,192.64,193.29,193.29
15-Jul-85,193.29,193.84,192.55,192.72,192.72
16-Jul-85,192.72,194.72,192.72,194.72,194.72
17-Jul-85,194.86,196.07,194.72,195.65,195.65
18-Jul-85,195.65,195.65,194.34,194.38,194.38
19-Jul-85,194.38,195.13,194.28,195.13,195.13
22-Jul-85,195.13,195.13,193.58,194.35,194.35
23-Jul-85,194.35,194.98,192.28,192.55,192.55
24-Jul-85,192.55,192.55,190.66,191.58,191.58
25-Jul-85,191.58,192.23,191.17,192.06,192.06
26-Jul-85,192.06,192.78,191.58,192.4,192.4
29-Jul-85,192.4,192.42,189.53,189.6,189.6
30-Jul-85,189.62,190.05,189.3,189.93,189.93
31-Jul-85,189.93,191.33,189.93,190.92,190.92
1-Aug-85,190.92,192.17,190.91,192.11,192.11
2-Aug-85,192.11,192.11,191.27,191.48,191.48
5-Aug-85,191.48,191.48,189.95,190.62,190.62
6-Aug-85,190.62,190.72,187.87,187.93,187.93
7-Aug-85,187.93,187.93,187.39,187.68,187.68
8-Aug-85,187.68,188.96,187.68,188.95,188.95
9-Aug-85,188.95,189.05,188.11,188.32,188.32
12-Aug-85,188.32,188.32,187.43,187.63,187.63
13-Aug-85,187.63,188.15,186.51,187.3,187.3
14-Aug-85,187.3,187.87,187.3,187.41,187.41
15-Aug-85,187.41,187.74,186.62,187.26,187.26
16-Aug-85,187.26,187.26,186.1,186.1,186.1
19-Aug-85,186.1,186.82,186.1,186.38,186.38
20-Aug-85,186.38,188.27,186.38,188.08,188.08
21-Aug-85,188.08,189.16,188.08,189.16,189.16
22-Aug-85,189.11,189.23,187.2,187.36,187.36
23-Aug-85,187.22,187.35,186.59,187.17,187.17
26-Aug-85,187.17,187.44,186.46,187.31,187.31
27-Aug-85,187.31,188.1,187.31,188.1,188.1
28-Aug-85,188.1,188.83,187.9,188.83,188.83
29-Aug-85,188.73,188.94,188.38,188.93,188.93
30-Aug-85,188.93,189.13,188,188.63,188.63
3-Sep-85,188.63,188.63,187.38,187.91,187.91
4-Sep-85,187.91,187.92,186.97,187.37,187.37
5-Sep-85,187.37,187.52,186.89,187.27,187.27
6-Sep-85,187.27,188.43,187.27,188.24,188.24
9-Sep-85,188.24,188.8,187.9,188.25,188.25
10-Sep-85,188.25,188.26,186.5,186.9,186.9
11-Sep-85,186.9,186.9,184.79,185.03,185.03
12-Sep-85,185.03,185.21,183.49,183.69,183.69
13-Sep-85,183.69,184.19,182.05,182.91,182.91
16-Sep-85,182.91,182.91,182.45,182.88,182.88
17-Sep-85,182.88,182.88,180.78,181.36,181.36
18-Sep-85,181.36,181.83,180.81,181.71,181.71
19-Sep-85,181.71,183.4,181.71,183.39,183.39
20-Sep-85,183.39,183.99,182.04,182.05,182.05
23-Sep-85,182.05,184.65,182.05,184.3,184.3
24-Sep-85,184.3,184.3,182.42,182.62,182.62
25-Sep-85,182.62,182.62,180.62,180.66,180.66
26-Sep-85,180.66,181.29,179.45,181.29,181.29
30-Sep-85,181.3,182.08,181.22,182.08,182.08
1-Oct-85,182.06,185.08,182.02,185.07,185.07
2-Oct-85,185.07,185.94,184.06,184.06,184.06
3-Oct-85,184.06,185.17,183.59,184.36,184.36
4-Oct-85,184.36,184.36,182.65,183.22,183.22
7-Oct-85,183.22,183.22,181.3,181.87,181.87
8-Oct-85,181.87,182.3,181.16,181.87,181.87
9-Oct-85,181.87,183.27,181.87,182.52,182.52
10-Oct-85,182.52,182.79,182.05,182.78,182.78
11-Oct-85,182.78,184.28,182.61,184.28,184.28
14-Oct-85,184.31,186.37,184.28,186.37,186.37
15-Oct-85,186.37,187.16,185.66,186.08,186.08
16-Oct-85,186.08,187.98,186.08,187.98,187.98
17-Oct-85,187.98,188.52,187.42,187.66,187.66
18-Oct-85,187.66,188.11,186.89,187.04,187.04
21-Oct-85,187.04,187.3,186.79,186.96,186.96
22-Oct-85,186.96,188.56,186.96,188.04,188.04
23-Oct-85,188.04,189.09,188.04,189.09,189.09
24-Oct-85,189.09,189.45,188.41,188.5,188.5
25-Oct-85,188.5,188.51,187.32,187.52,187.52
28-Oct-85,187.52,187.76,186.93,187.76,187.76
29-Oct-85,187.76,189.78,187.76,189.23,189.23
30-Oct-85,189.23,190.09,189.14,190.07,190.07
31-Oct-85,190.07,190.15,189.35,189.82,189.82
1-Nov-85,189.82,191.53,189.37,191.53,191.53
4-Nov-85,191.45,191.96,190.66,191.25,191.25
5-Nov-85,191.25,192.43,190.99,192.37,192.37
6-Nov-85,192.37,193.01,191.83,192.76,192.76
7-Nov-85,192.78,192.96,192.16,192.62,192.62
8-Nov-85,192.62,193.97,192.53,193.72,193.72
11-Nov-85,193.72,197.29,193.7,197.28,197.28
12-Nov-85,197.28,198.66,196.97,198.08,198.08
13-Nov-85,198.08,198.11,196.91,197.1,197.1
14-Nov-85,197.1,199.19,196.88,199.06,199.06
15-Nov-85,199.06,199.58,197.9,198.11,198.11
18-Nov-85,198.11,198.71,197.51,198.71,198.71
19-Nov-85,198.71,199.52,198.01,198.67,198.67
20-Nov-85,198.67,199.2,198.52,198.99,198.99
21-Nov-85,198.99,201.43,198.99,201.41,201.41
22-Nov-85,201.41,202.01,201.05,201.52,201.52
25-Nov-85,201.52,201.52,200.08,200.35,200.35
26-Nov-85,200.35,201.16,200.11,200.67,200.67
27-Nov-85,200.67,202.65,200.67,202.54,202.54
29-Nov-85,202.54,203.4,201.92,202.17,202.17
2-Dec-85,202.17,202.19,200.2,200.46,200.46
3-Dec-85,200.46,200.98,200.1,200.86,200.86
4-Dec-85,200.86,204.23,200.86,204.23,204.23
5-Dec-85,204.23,205.86,203.79,203.88,203.88
6-Dec-85,203.88,203.88,202.45,202.99,202.99
9-Dec-85,202.99,204.65,202.98,204.25,204.25
10-Dec-85,204.25,205.16,203.68,204.39,204.39
11-Dec-85,204.39,206.68,204.17,206.31,206.31
12-Dec-85,206.31,207.65,205.83,206.73,206.73
13-Dec-85,206.73,210.31,206.73,209.94,209.94
16-Dec-85,209.94,213.08,209.91,212.02,212.02
17-Dec-85,212.02,212.45,210.58,210.65,210.65
18-Dec-85,210.65,211.23,209.24,209.81,209.81
19-Dec-85,209.81,210.13,209.25,210.02,210.02
20-Dec-85,210.02,211.77,210.02,210.94,210.94
23-Dec-85,210.57,210.94,208.44,208.57,208.57
24-Dec-85,208.57,208.57,206.44,207.14,207.14
26-Dec-85,207.14,207.76,207.05,207.65,207.65
27-Dec-85,207.65,209.62,207.65,209.61,209.61
30-Dec-85,209.61,210.7,209.17,210.68,210.68
31-Dec-85,210.68,211.61,210.68,211.28,211.28
2-Jan-86,211.28,211.28,208.93,209.59,209.59
3-Jan-86,209.59,210.88,209.51,210.88,210.88
6-Jan-86,210.88,210.98,209.93,210.65,210.65
7-Jan-86,210.65,213.8,210.65,213.8,213.8
8-Jan-86,213.8,214.57,207.49,207.97,207.97
9-Jan-86,207.97,207.97,204.51,206.11,206.11
10-Jan-86,206.11,207.33,205.52,205.96,205.96
13-Jan-86,205.96,206.83,205.52,206.72,206.72
14-Jan-86,206.72,207.37,206.06,206.64,206.64
15-Jan-86,206.64,208.27,206.64,208.26,208.26
16-Jan-86,208.26,209.18,207.61,209.17,209.17
17-Jan-86,209.17,209.4,207.59,208.43,208.43
20-Jan-86,208.43,208.43,206.62,207.53,207.53
21-Jan-86,207.53,207.78,205.05,205.79,205.79
22-Jan-86,205.79,206.03,203.41,203.49,203.49
23-Jan-86,203.49,204.43,202.6,204.25,204.25
24-Jan-86,204.25,206.43,204.25,206.43,206.43
27-Jan-86,206.43,207.69,206.43,207.39,207.39
28-Jan-86,207.42,209.82,207.4,209.81,209.81
29-Jan-86,209.81,212.36,209.81,210.29,210.29
30-Jan-86,210.29,211.54,209.15,209.33,209.33
31-Jan-86,209.33,212.42,209.19,211.78,211.78
3-Feb-86,211.78,214.18,211.6,213.96,213.96
4-Feb-86,213.96,214.57,210.82,212.79,212.79
5-Feb-86,212.84,213.03,211.21,212.96,212.96
6-Feb-86,212.96,214.51,212.6,213.47,213.47
7-Feb-86,213.47,215.27,211.13,214.56,214.56
10-Feb-86,214.56,216.24,214.47,216.24,216.24
11-Feb-86,216.24,216.67,215.54,215.92,215.92
12-Feb-86,215.92,216.28,215.13,215.97,215.97
13-Feb-86,215.97,217.41,215.38,217.4,217.4
14-Feb-86,217.4,219.76,217.22,219.76,219.76
18-Feb-86,219.76,222.45,219.26,222.45,222.45
19-Feb-86,222.45,222.96,219.73,219.76,219.76
20-Feb-86,219.76,222.22,219.22,222.22,222.22
21-Feb-86,222.22,224.62,222.22,224.62,224.62
24-Feb-86,224.58,225.29,223.31,224.34,224.34
25-Feb-86,224.34,224.4,222.63,223.79,223.79
26-Feb-86,223.72,224.59,223.15,224.04,224.04
27-Feb-86,224.04,226.88,223.41,226.77,226.77
28-Feb-86,226.77,227.92,225.42,226.92,226.92
3-Mar-86,226.92,226.92,224.41,225.42,225.42
4-Mar-86,225.42,227.33,223.94,224.38,224.38
5-Mar-86,224.14,224.37,222.18,224.34,224.34
6-Mar-86,224.39,225.5,224.13,225.13,225.13
7-Mar-86,225.13,226.33,224.44,225.57,225.57
10-Mar-86,225.57,226.98,225.36,226.58,226.58
11-Mar-86,226.58,231.81,226.58,231.69,231.69
12-Mar-86,231.69,234.7,231.68,232.54,232.54
13-Mar-86,232.54,233.89,231.27,233.19,233.19
14-Mar-86,233.19,236.55,232.58,236.55,236.55
17-Mar-86,236.55,236.55,233.69,234.67,234.67
18-Mar-86,234.67,236.52,234.14,235.78,235.78
19-Mar-86,235.78,236.52,235.13,235.6,235.6
20-Mar-86,235.6,237.09,235.6,236.54,236.54
21-Mar-86,236.54,237.35,233.29,233.34,233.34
24-Mar-86,233.34,235.33,232.92,235.33,235.33
25-Mar-86,235.33,235.33,233.62,234.72,234.72
26-Mar-86,234.72,237.79,234.71,237.3,237.3
27-Mar-86,237.3,240.11,237.3,238.97,238.97
31-Mar-86,238.97,239.86,238.08,238.9,238.9
1-Apr-86,238.9,239.1,234.57,235.14,235.14
2-Apr-86,235.14,235.71,233.4,235.71,235.71
3-Apr-86,235.71,236.42,232.07,232.47,232.47
4-Apr-86,232.47,232.56,228.32,228.69,228.69
7-Apr-86,228.69,228.83,226.3,228.63,228.63
8-Apr-86,228.63,233.7,228.63,233.52,233.52
9-Apr-86,233.52,235.57,232.13,233.75,233.75
10-Apr-86,233.75,236.54,233.75,236.44,236.44
11-Apr-86,236.44,237.85,235.13,235.97,235.97
14-Apr-86,235.97,237.48,235.43,237.28,237.28
15-Apr-86,237.28,238.09,236.64,237.73,237.73
16-Apr-86,237.73,242.57,237.73,242.22,242.22
17-Apr-86,242.22,243.36,241.89,243.03,243.03
18-Apr-86,243.03,243.47,241.74,242.38,242.38
21-Apr-86,242.38,244.78,241.88,244.74,244.74
22-Apr-86,244.74,245.47,241.3,242.42,242.42
23-Apr-86,242.42,242.42,240.08,241.75,241.75
24-Apr-86,241.75,243.13,241.65,242.02,242.02
25-Apr-86,242.02,242.8,240.91,242.29,242.29
28-Apr-86,242.29,243.08,241.23,243.08,243.08
29-Apr-86,243.08,243.57,239.23,240.51,240.51
30-Apr-86,240.52,240.52,235.26,235.52,235.52
1-May-86,235.52,236.01,234.21,235.16,235.16
2-May-86,235.16,236.52,234.15,234.79,234.79
5-May-86,234.79,237.73,234.79,237.73,237.73
6-May-86,237.73,238.28,236.26,237.24,237.24
7-May-86,236.56,237.24,233.98,236.08,236.08
8-May-86,236.08,237.96,236.08,237.13,237.13
9-May-86,237.13,238.01,235.85,237.85,237.85
12-May-86,237.85,238.53,237.02,237.58,237.58
13-May-86,237.58,237.87,236.02,236.41,236.41
14-May-86,236.41,237.54,235.85,237.54,237.54
15-May-86,237.54,237.54,233.93,234.43,234.43
16-May-86,234.43,234.43,232.26,232.76,232.76
19-May-86,232.76,233.54,232.41,233.2,233.2
20-May-86,233.2,236.12,232.58,236.11,236.11
21-May-86,236.11,236.83,235.45,235.45,235.45
22-May-86,235.45,240.25,235.45,240.12,240.12
23-May-86,240.12,242.16,240.12,241.35,241.35
27-May-86,241.35,244.76,241.35,244.75,244.75
28-May-86,244.75,247.4,244.75,246.63,246.63
29-May-86,246.63,248.32,245.29,247.98,247.98
30-May-86,247.98,249.19,246.43,247.35,247.35
2-Jun-86,246.04,247.74,243.83,245.04,245.04
3-Jun-86,245.04,245.51,243.67,245.51,245.51
4-Jun-86,245.51,246.3,242.59,243.94,243.94
5-Jun-86,243.94,245.66,243.41,245.65,245.65
6-Jun-86,245.65,246.07,244.43,245.67,245.67
9-Jun-86,245.67,245.67,239.68,239.96,239.96
10-Jun-86,239.96,240.08,238.23,239.58,239.58
11-Jun-86,239.58,241.13,239.21,241.13,241.13
12-Jun-86,241.24,241.64,240.7,241.49,241.49
13-Jun-86,241.71,245.91,241.71,245.73,245.73
16-Jun-86,245.73,246.5,245.17,246.13,246.13
17-Jun-86,246.13,246.26,243.6,244.35,244.35
18-Jun-86,244.35,245.25,242.57,244.99,244.99
19-Jun-86,244.99,245.8,244.05,244.06,244.06
20-Jun-86,244.06,247.6,243.98,247.58,247.58
23-Jun-86,247.58,247.58,244.45,245.26,245.26
24-Jun-86,245.26,248.26,244.53,247.03,247.03
25-Jun-86,247.03,250.13,247.03,248.93,248.93
26-Jun-86,248.93,249.43,247.72,248.74,248.74
27-Jun-86,248.74,249.74,248.74,249.6,249.6
30-Jun-86,249.6,251.81,249.6,250.84,250.84
1-Jul-86,250.67,252.04,250.53,252.04,252.04
2-Jul-86,252.04,253.2,251.79,252.7,252.7
3-Jul-86,252.7,252.94,251.23,251.79,251.79
7-Jul-86,251.79,251.81,243.63,244.05,244.05
8-Jul-86,244.05,244.06,239.07,241.59,241.59
9-Jul-86,241.59,243.07,241.46,242.82,242.82
10-Jul-86,242.82,243.44,239.66,243.01,243.01
11-Jul-86,243.01,243.48,241.68,242.22,242.22
14-Jul-86,242.22,242.22,238.04,238.11,238.11
15-Jul-86,238.09,238.12,233.6,233.66,233.66
16-Jul-86,233.66,236.19,233.66,235.01,235.01
17-Jul-86,235.01,236.65,235.01,236.07,236.07
18-Jul-86,236.07,238.22,233.94,236.36,236.36
21-Jul-86,236.36,236.45,235.53,236.24,236.24
22-Jul-86,236.24,238.42,235.92,238.18,238.18
23-Jul-86,238.19,239.25,238.17,238.67,238.67
24-Jul-86,238.69,239.05,237.32,237.95,237.95
25-Jul-86,237.99,240.36,237.95,240.22,240.22
28-Jul-86,240.2,240.25,235.23,236.01,236.01
29-Jul-86,235.72,236.01,234.4,234.55,234.55
30-Jul-86,234.57,237.38,233.07,236.59,236.59
31-Jul-86,236.59,236.92,235.89,236.12,236.12
1-Aug-86,236.12,236.89,234.59,234.91,234.91
4-Aug-86,234.91,236.86,231.92,235.99,235.99
5-Aug-86,235.99,238.31,235.97,237.03,237.03
6-Aug-86,237.03,237.35,235.48,236.84,236.84
7-Aug-86,236.84,238.02,236.31,237.04,237.04
8-Aug-86,237.04,238.06,236.37,236.88,236.88
11-Aug-86,236.88,241.2,236.87,240.68,240.68
12-Aug-86,240.68,243.37,240.35,243.34,243.34
13-Aug-86,243.34,246.51,243.06,245.67,245.67
14-Aug-86,245.67,246.79,245.53,246.25,246.25
15-Aug-86,246.25,247.15,245.7,247.15,247.15
18-Aug-86,247.15,247.83,245.48,247.38,247.38
19-Aug-86,247.38,247.42,245.82,246.51,246.51
20-Aug-86,246.53,249.77,246.51,249.77,249.77
21-Aug-86,249.77,250.45,249.11,249.67,249.67
22-Aug-86,249.67,250.61,249.27,250.19,250.19
25-Aug-86,250.19,250.26,247.76,247.81,247.81
26-Aug-86,247.81,252.91,247.81,252.84,252.84
27-Aug-86,252.84,254.24,252.66,253.3,253.3
28-Aug-86,253.3,253.67,251.91,252.84,252.84
29-Aug-86,252.84,254.07,251.73,252.93,252.93
2-Sep-86,252.93,253.3,248.14,248.52,248.52
3-Sep-86,248.52,250.08,247.59,250.08,250.08
4-Sep-86,250.08,254.01,250.03,253.83,253.83
5-Sep-86,253.83,254.13,250.33,250.47,250.47
8-Sep-86,250.47,250.47,247.02,248.14,248.14
9-Sep-86,248.14,250.21,246.94,247.67,247.67
10-Sep-86,247.67,247.76,246.11,247.06,247.06
11-Sep-86,247.06,247.06,234.67,235.18,235.18
12-Sep-86,235.18,235.45,228.74,230.67,230.67
15-Sep-86,230.67,232.82,229.44,231.94,231.94
16-Sep-86,231.93,231.94,228.32,231.72,231.72
17-Sep-86,231.73,233.81,231.38,231.68,231.68
18-Sep-86,231.67,232.87,230.57,232.31,232.31
19-Sep-86,232.3,232.31,230.69,232.21,232.21
22-Sep-86,232.2,234.93,232.2,234.93,234.93
23-Sep-86,234.96,235.88,234.5,235.67,235.67
24-Sep-86,235.66,237.06,235.53,236.28,236.28
25-Sep-86,231.83,236.28,230.67,231.83,231.83
26-Sep-86,231.83,233.68,230.64,232.23,232.23
29-Sep-86,232.23,232.23,228.08,229.91,229.91
30-Sep-86,229.91,233.01,229.91,231.32,231.32
1-Oct-86,231.32,234.62,231.32,233.6,233.6
2-Oct-86,233.6,234.33,232.77,233.92,233.92
3-Oct-86,233.92,236.16,232.79,233.71,233.71
6-Oct-86,233.71,235.34,233.17,234.78,234.78
7-Oct-86,234.74,235.18,233.46,234.41,234.41
8-Oct-86,234.41,236.84,233.68,236.68,236.68
9-Oct-86,236.67,238.2,235.72,235.85,235.85
10-Oct-86,235.84,236.27,235.31,235.48,235.48
13-Oct-86,235.52,235.91,235.02,235.91,235.91
14-Oct-86,235.9,236.37,234.37,235.37,235.37
15-Oct-86,235.36,239.03,235.27,238.8,238.8
16-Oct-86,238.83,240.18,238.8,239.53,239.53
17-Oct-86,239.5,239.53,237.71,238.84,238.84
20-Oct-86,238.84,238.84,234.78,235.97,235.97
21-Oct-86,236.03,236.49,234.95,235.88,235.88
22-Oct-86,235.89,236.64,235.82,236.26,236.26
23-Oct-86,236.28,239.76,236.26,239.28,239.28
24-Oct-86,239.3,239.65,238.25,238.26,238.26
27-Oct-86,238.22,238.77,236.72,238.77,238.77
28-Oct-86,238.81,240.58,238.77,239.26,239.26
29-Oct-86,239.23,241,238.98,240.94,240.94
30-Oct-86,240.97,244.08,240.94,243.71,243.71
31-Oct-86,243.7,244.51,242.95,243.98,243.98
3-Nov-86,243.97,245.8,243.93,245.8,245.8
4-Nov-86,245.8,246.43,244.42,246.2,246.2
5-Nov-86,246.09,247.05,245.21,246.58,246.58
6-Nov-86,246.54,246.9,244.3,245.87,245.87
7-Nov-86,245.85,246.13,244.92,245.77,245.77
10-Nov-86,245.75,246.22,244.68,246.13,246.13
11-Nov-86,246.15,247.1,246.12,247.08,247.08
12-Nov-86,247.06,247.67,245.68,246.64,246.64
13-Nov-86,246.63,246.66,242.98,243.02,243.02
14-Nov-86,243.01,244.51,241.96,244.5,244.5
17-Nov-86,244.5,244.8,242.29,243.21,243.21
18-Nov-86,243.2,243.23,236.65,236.78,236.78
19-Nov-86,236.77,237.94,235.51,237.66,237.66
20-Nov-86,237.66,242.05,237.66,242.05,242.05
21-Nov-86,242.03,246.38,241.97,245.86,245.86
24-Nov-86,245.86,248,245.21,247.45,247.45
25-Nov-86,247.44,248.18,246.3,248.17,248.17
26-Nov-86,248.14,248.9,247.73,248.77,248.77
28-Nov-86,248.82,249.22,248.07,249.22,249.22
1-Dec-86,249.22,249.22,245.72,249.05,249.05
2-Dec-86,249.06,254,249.05,254,254
3-Dec-86,254,254.87,253.24,253.85,253.85
4-Dec-86,253.85,254.42,252.88,253.04,253.04
5-Dec-86,253.05,253.89,250.71,251.17,251.17
8-Dec-86,251.16,252.36,248.82,251.16,251.16
9-Dec-86,251.16,251.27,249.25,249.28,249.28
10-Dec-86,249.28,251.53,248.94,250.96,250.96
11-Dec-86,250.97,250.98,247.15,248.17,248.17
12-Dec-86,248.17,248.31,247.02,247.35,247.35
15-Dec-86,247.31,248.23,244.92,248.21,248.21
16-Dec-86,248.21,250.04,247.4,250.04,250.04
17-Dec-86,250.01,250.04,247.19,247.56,247.56
18-Dec-86,247.56,247.81,246.45,246.78,246.78
19-Dec-86,246.79,249.96,245.89,249.73,249.73
22-Dec-86,249.73,249.73,247.45,248.75,248.75
23-Dec-86,248.75,248.75,245.85,246.34,246.34
24-Dec-86,246.34,247.22,246.02,246.75,246.75
26-Dec-86,246.75,247.09,246.73,246.92,246.92
29-Dec-86,246.9,246.92,244.31,244.67,244.67
30-Dec-86,244.66,244.67,243.04,243.37,243.37
31-Dec-86,243.37,244.03,241.28,242.17,242.17
2-Jan-87,242.17,246.45,242.17,246.45,246.45
5-Jan-87,246.45,252.57,246.45,252.19,252.19
6-Jan-87,252.2,253.99,252.14,252.78,252.78
7-Jan-87,252.78,255.72,252.65,255.33,255.33
8-Jan-87,255.36,257.28,254.97,257.28,257.28
9-Jan-87,257.26,259.2,256.11,258.73,258.73
12-Jan-87,258.72,261.36,257.92,260.3,260.3
13-Jan-87,260.3,260.45,259.21,259.95,259.95
14-Jan-87,259.95,262.72,259.62,262.64,262.64
15-Jan-87,262.65,266.68,262.64,265.49,265.49
16-Jan-87,265.46,267.24,264.31,266.28,266.28
19-Jan-87,266.26,269.34,264,269.34,269.34
20-Jan-87,269.34,271.03,267.65,269.04,269.04
21-Jan-87,269.04,270.87,267.35,267.84,267.84
22-Jan-87,267.84,274.05,267.32,273.91,273.91
23-Jan-87,273.91,280.96,268.41,270.1,270.1
26-Jan-87,270.1,270.4,267.73,269.61,269.61
27-Jan-87,269.61,274.31,269.61,273.75,273.75
28-Jan-87,273.75,275.71,273.03,275.4,275.4
29-Jan-87,275.4,276.85,272.54,274.24,274.24
30-Jan-87,274.24,274.24,271.38,274.08,274.08
2-Feb-87,274.08,277.35,273.16,276.45,276.45
3-Feb-87,276.45,277.83,275.84,275.99,275.99
4-Feb-87,275.99,279.65,275.35,279.64,279.64
5-Feb-87,279.64,282.26,278.66,281.16,281.16
6-Feb-87,281.16,281.79,279.87,280.04,280.04
9-Feb-87,280.04,280.04,277.24,278.16,278.16
10-Feb-87,278.16,278.16,273.49,275.07,275.07
11-Feb-87,275.07,277.71,274.71,277.54,277.54
12-Feb-87,277.54,278.04,273.89,275.62,275.62
13-Feb-87,275.62,280.91,275.01,279.7,279.7
17-Feb-87,279.7,285.49,279.7,285.49,285.49
18-Feb-87,285.49,287.55,282.97,285.42,285.42
19-Feb-87,285.42,286.24,283.84,285.57,285.57
20-Feb-87,285.57,285.98,284.31,285.48,285.48
23-Feb-87,285.48,285.5,279.37,282.38,282.38
24-Feb-87,282.38,283.33,281.45,282.88,282.88
25-Feb-87,282.88,285.35,282.14,284,284
26-Feb-87,284,284.4,280.73,282.96,282.96
27-Feb-87,282.96,284.55,282.77,284.2,284.2
2-Mar-87,284.17,284.83,282.3,283,283
3-Mar-87,283,284.19,282.92,284.12,284.12
4-Mar-87,284.12,288.62,284.12,288.62,288.62
